train_loss,train_acc,val_loss,val_acc,epoch_times,epoch
1.8856752579188036,0.36546816599754445,1.624582363379122,0.4818181818181818,30.172406673431396,0
1.5595917959806715,0.5200602540500923,1.2177440787806655,0.6595959595959596,30.726036071777344,1
1.4300531629543056,0.580559810385287,1.406260195645419,0.5282828282828282,29.703607082366943,2
1.332407206115778,0.6240182401292811,1.0965520011054144,0.694949494949495,30.153136491775513,3
1.2450814322348787,0.6629747844348334,1.007179434612544,0.7434343434343434,30.02743887901306,4
1.1929996632632573,0.6907827626886542,0.9958008756541242,0.7262626262626263,29.89040517807007,5
1.2071416418217715,0.6913066011825806,0.9897210383656049,0.7151515151515152,30.070146083831787,6
1.0987505282748453,0.7283877144523776,1.014389632928251,0.7313131313131314,30.172208786010742,7
1.0821860994340369,0.7336041611392281,0.939550103563251,0.7505050505050505,30.12923502922058,8
1.1023000073674447,0.7295213251653929,0.9160828429039078,0.7686868686868686,29.998399019241333,9
1.0144750535746905,0.7616204924977724,0.9380753509926073,0.7515151515151515,29.925078630447388,10
1.0419244348744063,0.7560300259820713,0.9204958371441774,0.7626262626262627,29.960071086883545,11
0.9795601920695105,0.7835710996077949,0.8005523118105802,0.798989898989899,30.05907368659973,12
1.0785493319182942,0.7442993564034343,0.8285438641153201,0.8090909090909091,30.09412670135498,13
1.0308549355666994,0.7674627700125848,0.8076711076678652,0.7868686868686868,30.05223250389099,14
1.0098809931971748,0.7664648836881434,0.7838542533643318,0.8181818181818182,30.002603769302368,15
0.9709177730742481,0.7896533946326748,0.9321418111974543,0.7575757575757576,29.984923124313354,16
0.919261113055018,0.8138585144797699,0.7747146081442785,0.8202020202020202,30.01291847229004,17
0.9248076686120758,0.8085521696928156,0.7662626844463927,0.8313131313131313,29.923115253448486,18
0.9448578033882009,0.7983797680342601,0.8506970814984254,0.7777777777777778,29.917680501937866,19
0.9045895933587368,0.8162701895867834,0.7732869776812467,0.8101010101010101,29.95493245124817,20
0.9382927546107821,0.8027770547055361,0.7560208484379932,0.8343434343434344,30.02271556854248,21
0.9223584572589173,0.8128123564301043,0.7380550724087339,0.8363636363636363,30.036009550094604,22
0.8919173753382328,0.8189505754999971,0.7317515939173073,0.8484848484848485,30.1333966255188,23
0.9206674174617238,0.809362987073443,0.7768229754284175,0.8222222222222222,30.11069107055664,24
0.9084992554701875,0.8137540310884053,0.8303408651640921,0.802020202020202,30.052109003067017,25
0.8412402318631516,0.8384474471789605,0.7523253660009365,0.8393939393939394,30.06770968437195,26
0.9030737042427063,0.8199344923372635,0.7654312198812311,0.8454545454545455,30.052693128585815,27
0.8395400452717341,0.8399733369708233,0.7128884551501034,0.8636363636363636,30.122111082077026,28
0.9044127770684735,0.818572543685153,0.737572747529155,0.8575757575757575,30.06195878982544,29
0.8295895074279884,0.8427553804519735,0.7256917016674774,0.8404040404040404,30.099290370941162,30
0.8329353208997315,0.8376980966512455,0.7577622276363951,0.8444444444444444,30.08345603942871,31
0.8540043553464147,0.8373928972684307,0.710484839689852,0.8464646464646465,30.070261240005493,32
0.8133421887968453,0.8490576060273133,0.7047291288472185,0.8585858585858586,30.12243962287903,33
0.8373199432182588,0.8436575191352098,0.6942776557170983,0.8626262626262626,30.029747486114502,34
0.8234132613183448,0.8456703592706191,0.7006639389076619,0.8545454545454545,30.05310368537903,35
0.8809913972869796,0.8240665232513391,0.6834875106811523,0.8616161616161616,30.014302968978882,36
0.8446333020537359,0.8383542850027463,0.7058166785673662,0.8656565656565657,30.04151964187622,37
0.8733980519467945,0.8275042911055152,0.7156682361255993,0.8656565656565657,30.01170825958252,38
0.7701170198479196,0.8695603478928725,0.6832611642702662,0.8676767676767677,30.045884132385254,39
0.7954603083399374,0.8541878728537621,0.6806850508005932,0.8686868686868687,30.013660669326782,40
0.8248565653643629,0.848609849575952,0.6760433832804362,0.8676767676767677,29.98712468147278,41
0.8955736995260898,0.822832600897008,0.7028658633280283,0.8717171717171717,29.985052585601807,42
0.8236747551930451,0.8475165173147121,0.6989601462778419,0.8707070707070707,29.994413375854492,43
0.793085600222244,0.8643082324620286,0.6826665851804945,0.8686868686868687,29.976151943206787,44
0.8077619705117387,0.848573572735635,0.6970012279471965,0.8676767676767677,29.959957122802734,45
0.761355855461485,0.8693952600934591,0.6652724615251175,0.8656565656565657,30.00240445137024,46
0.8052521842605989,0.8527926634997591,0.6789418266277121,0.8686868686868687,29.970543384552002,47
0.8379104411550266,0.8368664924806316,0.6924124614156858,0.8656565656565657,30.014771938323975,48
0.8373377870374754,0.8362658295002545,0.6903014038548325,0.8656565656565657,30.021886587142944,49
0.8090517220034785,0.8493431335232693,0.6871987029759571,0.8656565656565657,30.034297943115234,50
0.8326865463111922,0.8412686216236555,0.6973535696665446,0.8696969696969697,30.036494255065918,51
0.8258512879159792,0.8406178903625698,0.6960554072351167,0.8656565656565657,30.03376817703247,52
0.7900224053911465,0.8530545533518261,0.6762030957925199,0.8646464646464647,30.077220678329468,53
0.7909862701178633,0.8647104416521139,0.7035186974689214,0.8666666666666667,30.09974479675293,54
0.8533953190539921,0.8348540222173357,0.6773913855504508,0.8626262626262626,30.08833932876587,55
0.7698931250489396,0.8635368552224767,0.6867734750111898,0.8676767676767677,30.095749855041504,56
0.8420217365500896,0.8417113908931965,0.6759167589322486,0.8666666666666667,30.086830854415894,57
0.8052165760835241,0.8538754312986917,0.6886966996722751,0.8707070707070707,30.090710401535034,58
0.7830583838754038,0.8586792225419899,0.7028470769073024,0.8585858585858586,30.138092279434204,59
0.7938849237047988,0.8536980611766324,0.6815805307542435,0.8656565656565657,30.103801727294922,60
0.8791936807539287,0.8268819773242052,0.7045495028447624,0.8636363636363636,30.084606409072876,61
0.8038129649528029,0.8520155934869387,0.7027380897541239,0.8666666666666667,30.05317211151123,62
0.8705686275934863,0.8279499753656699,0.6866936572874436,0.8646464646464647,30.001944541931152,63
0.7811839159939292,0.8636549163421675,0.675142354435391,0.8727272727272727,30.02240014076233,64
0.7806029181577018,0.8616973270930632,0.681185675389839,0.8747474747474747,29.987387895584106,65
0.8093457466959091,0.852141769612266,0.666924789698437,0.8737373737373737,30.069928884506226,66
0.8040881364631929,0.8502358266496012,0.7607301174992263,0.8363636363636363,29.988311529159546,67
0.8425541301194562,0.8340573321901809,0.7602877563900418,0.8525252525252526,29.992144107818604,68
0.8504312295127019,0.835163764961942,0.7265650710674247,0.8595959595959596,30.07646107673645,69
0.7477239974155785,0.8688233350517072,0.694429441654321,0.8575757575757575,29.99321985244751,70
0.8276550075165959,0.8466467990541093,0.6741869461656821,0.8606060606060606,30.060965538024902,71
0.8520809116653354,0.8360911983026224,0.7973709359313502,0.8151515151515152,30.02869963645935,72
0.8329815852831828,0.8451146784001471,0.6978958857179892,0.8555555555555555,30.073259353637695,73
